Account-Mapping,Acc2-Mapping,Version,Year-mapping,Month-mapping,Region-Mapping,Market-Mapping,Adj_Value_Sum
Advertising and Promotion,P&L,ACT,Y1,M03,E,E09,-1.207395639
Advertising and Promotion,P&L,ACT,Y1,M03,E,E12,-0.884928716
Advertising and Promotion,P&L,ACT,Y1,M03,E,E16,-1.20055098
Advertising and Promotion,P&L,ACT,Y1,M03,G,G01,-1.29099473
Advertising and Promotion,P&L,ACT,Y1,M03,G,G08,-0.148782668
Advertising and Promotion,P&L,ACT,Y1,M03,G,G10,-1.210902316
Advertising and Promotion,P&L,ACT,Y1,M03,G,G12,-1.13391959
Advertising and Promotion,P&L,ACT,Y1,M04,A,A01,-0.926058953
Advertising and Promotion,P&L,ACT,Y1,M04,A,A03,-0.986753031
Advertising and Promotion,P&L,ACT,Y1,M04,B,B01,-1.098157729
Advertising and Promotion,P&L,ACT,Y1,M04,B,B03,-0.490960847
Advertising and Promotion,P&L,ACT,Y1,M04,B,B05,-0.604352955
Advertising and Promotion,P&L,ACT,Y1,M04,B,B06,0.270143132
Advertising and Promotion,P&L,ACT,Y1,M04,B,B08,-0.616397483
Advertising and Promotion,P&L,ACT,Y1,M04,B,B17,-1.010173193
Advertising and Promotion,P&L,ACT,Y1,M04,B,B23,-0.878325089
Advertising and Promotion,P&L,ACT,Y1,M04,B,B25,-1.007054794
Advertising and Promotion,P&L,ACT,Y1,M04,B,B27,-0.528443849
Advertising and Promotion,P&L,ACT,Y1,M04,C,C02,-0.514750492
Advertising and Promotion,P&L,ACT,Y1,M04,C,C06,-0.723559167
Advertising and Promotion,P&L,ACT,Y1,M04,D,D01,-0.672587507
Advertising and Promotion,P&L,ACT,Y1,M04,D,D04,-1.121008256
Advertising and Promotion,P&L,ACT,Y1,M04,E,E04,-0.7124467
Advertising and Promotion,P&L,ACT,Y1,M04,E,E09,-0.516462462
Advertising and Promotion,P&L,ACT,Y1,M04,E,E12,-0.65362919
Advertising and Promotion,P&L,ACT,Y1,M04,E,E16,-0.85270577
Advertising and Promotion,P&L,ACT,Y1,M04,G,G01,-1.098224848
Advertising and Promotion,P&L,ACT,Y1,M04,G,G08,0.263323319
Advertising and Promotion,P&L,ACT,Y1,M04,G,G10,-0.523149578
Advertising and Promotion,P&L,ACT,Y1,M04,G,G12,-0.790045253
Advertising and Promotion,P&L,ACT,Y1,M05,A,A01,-0.63790244
Advertising and Promotion,P&L,ACT,Y1,M05,A,A03,-0.540794164
Advertising and Promotion,P&L,ACT,Y1,M05,B,B01,-0.769266222
Advertising and Promotion,P&L,ACT,Y1,M05,B,B03,-0.093314905
Advertising and Promotion,P&L,ACT,Y1,M05,B,B05,-0.239808177
Advertising and Promotion,P&L,ACT,Y1,M05,B,B06,-0.342401692
Advertising and Promotion,P&L,ACT,Y1,M05,B,B08,-0.406868424
Advertising and Promotion,P&L,ACT,Y1,M05,B,B17,-0.764453394
Advertising and Promotion,P&L,ACT,Y1,M05,B,B23,-0.375525541
Advertising and Promotion,P&L,ACT,Y1,M05,B,B25,-0.655217674
Advertising and Promotion,P&L,ACT,Y1,M05,B,B27,-0.033051338
Advertising and Promotion,P&L,ACT,Y1,M05,C,C02,-0.02584686
Advertising and Promotion,P&L,ACT,Y1,M05,C,C06,-0.58242965
Advertising and Promotion,P&L,ACT,Y1,M05,D,D01,0.572439326
Advertising and Promotion,P&L,ACT,Y1,M05,D,D04,-1.094118425
Advertising and Promotion,P&L,ACT,Y1,M05,E,E04,-0.308590371
Advertising and Promotion,P&L,ACT,Y1,M05,E,E07,-0.605507876
Advertising and Promotion,P&L,ACT,Y1,M05,E,E09,-0.753956878
Advertising and Promotion,P&L,ACT,Y1,M05,E,E12,-0.409633331
Advertising and Promotion,P&L,ACT,Y1,M05,E,E16,-0.561377409
Advertising and Promotion,P&L,ACT,Y1,M05,G,G01,-0.916716128
Advertising and Promotion,P&L,ACT,Y1,M05,G,G08,0.738471798
Advertising and Promotion,P&L,ACT,Y1,M05,G,G10,-0.242312391
Advertising and Promotion,P&L,ACT,Y1,M05,G,G12,-0.41949231
Advertising and Promotion,P&L,ACT,Y1,M06,A,A01,-0.352200006
Advertising and Promotion,P&L,ACT,Y1,M06,A,A03,-0.363301704
Advertising and Promotion,P&L,ACT,Y1,M06,B,B01,-0.329079744
Advertising and Promotion,P&L,ACT,Y1,M06,B,B03,0.123137509
Advertising and Promotion,P&L,ACT,Y1,M06,B,B05,-0.085786184
Advertising and Promotion,P&L,ACT,Y1,M06,B,B06,-0.339230413
Advertising and Promotion,P&L,ACT,Y1,M06,B,B08,-0.216635855
Advertising and Promotion,P&L,ACT,Y1,M06,B,B17,-0.477871167
Advertising and Promotion,P&L,ACT,Y1,M06,B,B23,0.012431257
Advertising and Promotion,P&L,ACT,Y1,M06,B,B25,-0.28166168
Advertising and Promotion,P&L,ACT,Y1,M06,B,B27,0.372406321
Advertising and Promotion,P&L,ACT,Y1,M06,C,C02,0.410021669
Advertising and Promotion,P&L,ACT,Y1,M06,C,C06,-0.393038104
Advertising and Promotion,P&L,ACT,Y1,M06,D,D01,0.572439326
Advertising and Promotion,P&L,ACT,Y1,M06,D,D04,-1.028603971
Advertising and Promotion,P&L,ACT,Y1,M06,E,E04,0.124322846
Advertising and Promotion,P&L,ACT,Y1,M06,E,E07,-0.562514875
Advertising and Promotion,P&L,ACT,Y1,M06,E,E09,-0.663315747
Advertising and Promotion,P&L,ACT,Y1,M06,E,E12,-0.300268881
Advertising and Promotion,P&L,ACT,Y1,M06,E,E16,-0.275700732
Advertising and Promotion,P&L,ACT,Y1,M06,G,G01,-0.596903579
Advertising and Promotion,P&L,ACT,Y1,M06,G,G08,0.998888164
Advertising and Promotion,P&L,ACT,Y1,M06,G,G10,0.038672914
Advertising and Promotion,P&L,ACT,Y1,M06,G,G12,-0.118566001
Advertising and Promotion,P&L,ACT,Y1,M07,A,A01,-0.022775277
Advertising and Promotion,P&L,ACT,Y1,M07,A,A03,-0.039563844
Advertising and Promotion,P&L,ACT,Y1,M07,B,B01,-0.101708629
Advertising and Promotion,P&L,ACT,Y1,M07,B,B03,0.362230674
Advertising and Promotion,P&L,ACT,Y1,M07,B,B05,0.070946179
Advertising and Promotion,P&L,ACT,Y1,M07,B,B06,0.305027206
Advertising and Promotion,P&L,ACT,Y1,M07,B,B08,0.108019378
Advertising and Promotion,P&L,ACT,Y1,M07,B,B17,-0.24154503
Advertising and Promotion,P&L,ACT,Y1,M07,B,B23,0.503934586
Advertising and Promotion,P&L,ACT,Y1,M07,B,B25,0.08874082
Advertising and Promotion,P&L,ACT,Y1,M07,B,B27,0.831250124
Advertising and Promotion,P&L,ACT,Y1,M07,C,C02,0.751657088
Advertising and Promotion,P&L,ACT,Y1,M07,C,C06,-0.146430622
Advertising and Promotion,P&L,ACT,Y1,M07,D,D01,0.572439326
Advertising and Promotion,P&L,ACT,Y1,M07,D,D04,-0.917920319
Advertising and Promotion,P&L,ACT,Y1,M07,E,E04,0.63405384
Advertising and Promotion,P&L,ACT,Y1,M07,E,E07,-0.562514875
Advertising and Promotion,P&L,ACT,Y1,M07,E,E09,-0.64793538
Advertising and Promotion,P&L,ACT,Y1,M07,E,E12,0.071623739
Advertising and Promotion,P&L,ACT,Y1,M07,E,E16,0.04811316
Advertising and Promotion,P&L,ACT,Y1,M07,G,G01,-0.387479675
Advertising and Promotion,P&L,ACT,Y1,M07,G,G08,1.240750122
Advertising and Promotion,P&L,ACT,Y1,M07,G,G10,0.183303994
Advertising and Promotion,P&L,ACT,Y1,M07,G,G12,0.181234678
Advertising and Promotion,P&L,ACT,Y1,M08,A,A01,0.247775891
Advertising and Promotion,P&L,ACT,Y1,M08,A,A03,0.221082534
Advertising and Promotion,P&L,ACT,Y1,M08,B,B01,0.074135378
Advertising and Promotion,P&L,ACT,Y1,M08,B,B03,0.535344808
Advertising and Promotion,P&L,ACT,Y1,M08,B,B05,0.45347322
Advertising and Promotion,P&L,ACT,Y1,M08,B,B06,0.366989127
Advertising and Promotion,P&L,ACT,Y1,M08,B,B08,0.345277187
Advertising and Promotion,P&L,ACT,Y1,M08,B,B17,-0.038405452
Advertising and Promotion,P&L,ACT,Y1,M08,B,B23,0.788374838
Advertising and Promotion,P&L,ACT,Y1,M08,B,B25,0.335478278
Advertising and Promotion,P&L,ACT,Y1,M08,B,B27,0.994429107
Advertising and Promotion,P&L,ACT,Y1,M08,C,C02,1.269366658
Advertising and Promotion,P&L,ACT,Y1,M08,C,C06,0.055712038
Advertising and Promotion,P&L,ACT,Y1,M08,D,D01,0.572439326
Advertising and Promotion,P&L,ACT,Y1,M08,D,D04,-0.865575919
Advertising and Promotion,P&L,ACT,Y1,M08,E,E04,0.907889199
Advertising and Promotion,P&L,ACT,Y1,M08,E,E07,-0.562514875
Advertising and Promotion,P&L,ACT,Y1,M08,E,E09,-0.571826108
Advertising and Promotion,P&L,ACT,Y1,M08,E,E12,0.311974116
Advertising and Promotion,P&L,ACT,Y1,M08,E,E16,0.503020477
Advertising and Promotion,P&L,ACT,Y1,M08,G,G01,-0.069318456
Advertising and Promotion,P&L,ACT,Y1,M08,G,G08,1.562814015
Advertising and Promotion,P&L,ACT,Y1,M08,G,G10,0.399618445
Advertising and Promotion,P&L,ACT,Y1,M08,G,G12,0.342002573
Advertising and Promotion,P&L,ACT,Y1,M09,A,A01,0.564555996
Advertising and Promotion,P&L,ACT,Y1,M09,A,A03,0.476220419
Advertising and Promotion,P&L,ACT,Y1,M09,B,B01,0.227981899
Advertising and Promotion,P&L,ACT,Y1,M09,B,B03,0.740868438
Advertising and Promotion,P&L,ACT,Y1,M09,B,B05,0.153091242
Advertising and Promotion,P&L,ACT,Y1,M09,B,B06,0.366989127
Advertising and Promotion,P&L,ACT,Y1,M09,B,B08,0.522974274
Advertising and Promotion,P&L,ACT,Y1,M09,B,B17,0.211617037
Advertising and Promotion,P&L,ACT,Y1,M09,B,B23,1.027210406
Advertising and Promotion,P&L,ACT,Y1,M09,B,B25,0.579794946
Advertising and Promotion,P&L,ACT,Y1,M09,B,B27,1.219166991
Advertising and Promotion,P&L,ACT,Y1,M09,C,C02,1.442100432
Advertising and Promotion,P&L,ACT,Y1,M09,C,C06,0.428564924
Advertising and Promotion,P&L,ACT,Y1,M09,D,D01,0.572439326
Advertising and Promotion,P&L,ACT,Y1,M09,D,D04,-0.786850403
Advertising and Promotion,P&L,ACT,Y1,M09,E,E04,1.125987882
Advertising and Promotion,P&L,ACT,Y1,M09,E,E07,-0.422440905
Advertising and Promotion,P&L,ACT,Y1,M09,E,E09,-0.417192581
Advertising and Promotion,P&L,ACT,Y1,M09,E,E12,0.626761326
Advertising and Promotion,P&L,ACT,Y1,M09,E,E16,0.700052996
Advertising and Promotion,P&L,ACT,Y1,M09,G,G01,0.016438584
Advertising and Promotion,P&L,ACT,Y1,M09,G,G08,1.854205809
Advertising and Promotion,P&L,ACT,Y1,M09,G,G10,0.614307149
Advertising and Promotion,P&L,ACT,Y1,M09,G,G12,0.490026178
Advertising and Promotion,P&L,ACT,Y1,M10,A,A01,0.994657569
Advertising and Promotion,P&L,ACT,Y1,M10,A,A03,0.975897121
Advertising and Promotion,P&L,ACT,Y1,M10,B,B01,0.474653562
Advertising and Promotion,P&L,ACT,Y1,M10,B,B03,0.941750322
Advertising and Promotion,P&L,ACT,Y1,M10,B,B05,0.784711719
Advertising and Promotion,P&L,ACT,Y1,M10,B,B06,0.750774928
Advertising and Promotion,P&L,ACT,Y1,M10,B,B08,0.841920709
Advertising and Promotion,P&L,ACT,Y1,M10,B,B17,0.379244632
Advertising and Promotion,P&L,ACT,Y1,M10,B,B23,1.225389011
Advertising and Promotion,P&L,ACT,Y1,M10,B,B25,0.60453442
Advertising and Promotion,P&L,ACT,Y1,M10,B,B27,1.481860299
Advertising and Promotion,P&L,ACT,Y1,M10,C,C02,1.626997961
Advertising and Promotion,P&L,ACT,Y1,M10,C,C06,0.463349213
Advertising and Promotion,P&L,ACT,Y1,M10,D,D01,0.572439326
Advertising and Promotion,P&L,ACT,Y1,M10,D,D04,-0.619229513
Advertising and Promotion,P&L,ACT,Y1,M10,E,E04,1.413788688
Advertising and Promotion,P&L,ACT,Y1,M10,E,E07,-0.422440905
Advertising and Promotion,P&L,ACT,Y1,M10,E,E09,-0.304191875
Advertising and Promotion,P&L,ACT,Y1,M10,E,E11,-0.458397201
Advertising and Promotion,P&L,ACT,Y1,M10,E,E12,1.209730293
Advertising and Promotion,P&L,ACT,Y1,M10,E,E16,0.963869382
Advertising and Promotion,P&L,ACT,Y1,M10,G,G01,0.242312975
Advertising and Promotion,P&L,ACT,Y1,M10,G,G08,2.083072655
Advertising and Promotion,P&L,ACT,Y1,M10,G,G10,0.804832412
Advertising and Promotion,P&L,ACT,Y1,M10,G,G12,0.752042806
Advertising and Promotion,P&L,ACT,Y1,M11,A,A01,1.184005256
Advertising and Promotion,P&L,ACT,Y1,M11,A,A03,0.877596621
Advertising and Promotion,P&L,ACT,Y1,M11,B,B01,0.694357212
Advertising and Promotion,P&L,ACT,Y1,M11,B,B03,1.046504807
Advertising and Promotion,P&L,ACT,Y1,M11,B,B05,0.789714594
Advertising and Promotion,P&L,ACT,Y1,M11,B,B06,0.926476007
Advertising and Promotion,P&L,ACT,Y1,M11,B,B07,0.352692367
Advertising and Promotion,P&L,ACT,Y1,M11,B,B08,1.078881362
Advertising and Promotion,P&L,ACT,Y1,M11,B,B17,0.511718255
Advertising and Promotion,P&L,ACT,Y1,M11,B,B23,1.163681754
Advertising and Promotion,P&L,ACT,Y1,M11,B,B25,0.468011173
Advertising and Promotion,P&L,ACT,Y1,M11,B,B27,1.680729293
Advertising and Promotion,P&L,ACT,Y1,M11,C,C02,1.823595597
Advertising and Promotion,P&L,ACT,Y1,M11,C,C06,0.880971635
Advertising and Promotion,P&L,ACT,Y1,M11,D,D01,0.572439326
Advertising and Promotion,P&L,ACT,Y1,M11,D,D04,-0.519635617
Advertising and Promotion,P&L,ACT,Y1,M11,E,E04,1.754995991
Advertising and Promotion,P&L,ACT,Y1,M11,E,E07,-0.422440905
Advertising and Promotion,P&L,ACT,Y1,M11,E,E09,0.610465395
Advertising and Promotion,P&L,ACT,Y1,M11,E,E11,-0.458397201
Advertising and Promotion,P&L,ACT,Y1,M11,E,E12,2.062264717
Advertising and Promotion,P&L,ACT,Y1,M11,E,E16,1.025611373
Advertising and Promotion,P&L,ACT,Y1,M11,G,G01,0.599703809
Advertising and Promotion,P&L,ACT,Y1,M11,G,G08,1.25295007
Advertising and Promotion,P&L,ACT,Y1,M11,G,G10,1.280347465
Advertising and Promotion,P&L,ACT,Y1,M11,G,G12,0.788004961
Advertising and Promotion,P&L,ACT,Y1,M12,A,A01,1.728709469
Advertising and Promotion,P&L,ACT,Y1,M12,A,A03,1.902660263
Advertising and Promotion,P&L,ACT,Y1,M12,B,B01,1.089836873
Advertising and Promotion,P&L,ACT,Y1,M12,B,B03,1.64266646
Advertising and Promotion,P&L,ACT,Y1,M12,B,B05,1.344507389
Advertising and Promotion,P&L,ACT,Y1,M12,B,B06,2.378007206
Advertising and Promotion,P&L,ACT,Y1,M12,B,B07,0.595134443
Advertising and Promotion,P&L,ACT,Y1,M12,B,B08,1.916770832
Advertising and Promotion,P&L,ACT,Y1,M12,B,B17,0.891475096
Advertising and Promotion,P&L,ACT,Y1,M12,B,B19,-1.753609333
Advertising and Promotion,P&L,ACT,Y1,M12,B,B23,1.889492741
Advertising and Promotion,P&L,ACT,Y1,M12,B,B25,0.783811982
Advertising and Promotion,P&L,ACT,Y1,M12,B,B27,1.861276889
Advertising and Promotion,P&L,ACT,Y1,M12,C,C02,2.142881035
Advertising and Promotion,P&L,ACT,Y1,M12,C,C06,1.160347605
Advertising and Promotion,P&L,ACT,Y1,M12,D,D01,0.572439326
Advertising and Promotion,P&L,ACT,Y1,M12,D,D04,-0.300607957
Advertising and Promotion,P&L,ACT,Y1,M12,E,E04,1.763221999
Advertising and Promotion,P&L,ACT,Y1,M12,E,E07,-0.422440905
Advertising and Promotion,P&L,ACT,Y1,M12,E,E09,-0.12806531
Advertising and Promotion,P&L,ACT,Y1,M12,E,E11,-0.458397201
Advertising and Promotion,P&L,ACT,Y1,M12,E,E12,1.69608152
Advertising and Promotion,P&L,ACT,Y1,M12,E,E16,1.277531495
Advertising and Promotion,P&L,ACT,Y1,M12,G,G01,0.862105421
Advertising and Promotion,P&L,ACT,Y1,M12,G,G08,2.25698061
Advertising and Promotion,P&L,ACT,Y1,M12,G,G10,1.54601259
Advertising and Promotion,P&L,ACT,Y1,M12,G,G12,1.563842932
Advertising and Promotion,P&L,ACT,Y2,M02,A,A01,-1.446720363
Advertising and Promotion,P&L,ACT,Y2,M02,A,A03,-1.195466578
Advertising and Promotion,P&L,ACT,Y2,M02,B,B01,-1.504091723
Advertising and Promotion,P&L,ACT,Y2,M02,B,B03,-1.628565389
Advertising and Promotion,P&L,ACT,Y2,M02,B,B05,-1.50081338
Advertising and Promotion,P&L,ACT,Y2,M02,B,B06,-1.82479188
Advertising and Promotion,P&L,ACT,Y2,M02,B,B08,-1.426925619
Advertising and Promotion,P&L,ACT,Y2,M02,B,B17,-1.472476016
Advertising and Promotion,P&L,ACT,Y2,M02,B,B19,-2.063160131
Advertising and Promotion,P&L,ACT,Y2,M02,B,B23,-1.365591801
Advertising and Promotion,P&L,ACT,Y2,M02,B,B25,-1.279785222
Advertising and Promotion,P&L,ACT,Y2,M02,B,B27,-1.665242476
Advertising and Promotion,P&L,ACT,Y2,M02,C,C02,-1.364573118
Advertising and Promotion,P&L,ACT,Y2,M02,C,C06,-1.529996807
Advertising and Promotion,P&L,ACT,Y2,M02,D,D04,-1.122564324
Advertising and Promotion,P&L,ACT,Y2,M02,E,E04,-1.973653234
Advertising and Promotion,P&L,ACT,Y2,M02,E,E09,-1.195779165
Advertising and Promotion,P&L,ACT,Y2,M02,E,E12,-1.625658478
Advertising and Promotion,P&L,ACT,Y2,M02,E,E16,-1.527890178
Advertising and Promotion,P&L,ACT,Y2,M02,G,G01,-1.367713582
Advertising and Promotion,P&L,ACT,Y2,M02,G,G08,-0.578219471
Advertising and Promotion,P&L,ACT,Y2,M02,G,G10,-1.436704638
Advertising and Promotion,P&L,ACT,Y2,M02,G,G12,-1.458450153
Advertising and Promotion,P&L,ACT,Y2,M03,A,A01,-1.08163844
Advertising and Promotion,P&L,ACT,Y2,M03,A,A03,-0.930931436
Advertising and Promotion,P&L,ACT,Y2,M03,B,B01,-1.134690196
Advertising and Promotion,P&L,ACT,Y2,M03,B,B03,-1.270856843
Advertising and Promotion,P&L,ACT,Y2,M03,B,B05,-1.404730405
Advertising and Promotion,P&L,ACT,Y2,M03,B,B06,-2.040621841
Advertising and Promotion,P&L,ACT,Y2,M03,B,B08,-1.029274541
Advertising and Promotion,P&L,ACT,Y2,M03,B,B17,-1.214764518
Advertising and Promotion,P&L,ACT,Y2,M03,B,B19,-1.498441691
Advertising and Promotion,P&L,ACT,Y2,M03,B,B23,-0.842328833
Advertising and Promotion,P&L,ACT,Y2,M03,B,B25,-1.046114285
Advertising and Promotion,P&L,ACT,Y2,M03,B,B27,-1.228535023
Advertising and Promotion,P&L,ACT,Y2,M03,C,C02,-1.167439575
Advertising and Promotion,P&L,ACT,Y2,M03,C,C06,-1.236650867
Advertising and Promotion,P&L,ACT,Y2,M03,D,D04,-0.953702126
Advertising and Promotion,P&L,ACT,Y2,M03,E,E04,-1.714252486
Advertising and Promotion,P&L,ACT,Y2,M03,E,E09,-1.009592342
Advertising and Promotion,P&L,ACT,Y2,M03,E,E12,-1.456332141
Advertising and Promotion,P&L,ACT,Y2,M03,E,E16,-1.168661557
Advertising and Promotion,P&L,ACT,Y2,M03,G,G01,-1.251930487
Advertising and Promotion,P&L,ACT,Y2,M03,G,G08,-0.581264745
Advertising and Promotion,P&L,ACT,Y2,M03,G,G10,-1.280263191
Advertising and Promotion,P&L,ACT,Y2,M03,G,G12,-1.101241905
Advertising and Promotion,P&L,ACT,Y2,M04,A,A01,-0.755508391
Advertising and Promotion,P&L,ACT,Y2,M04,A,A03,-0.651393739
Advertising and Promotion,P&L,ACT,Y2,M04,B,B01,-0.882916969
Advertising and Promotion,P&L,ACT,Y2,M04,B,B03,-1.019007672
Advertising and Promotion,P&L,ACT,Y2,M04,B,B05,-1.184740971
Advertising and Promotion,P&L,ACT,Y2,M04,B,B06,-1.354161811
Advertising and Promotion,P&L,ACT,Y2,M04,B,B07,0.011009223
Advertising and Promotion,P&L,ACT,Y2,M04,B,B08,-0.753453968
Advertising and Promotion,P&L,ACT,Y2,M04,B,B17,-0.907805271
Advertising and Promotion,P&L,ACT,Y2,M04,B,B19,-1.4709901
Advertising and Promotion,P&L,ACT,Y2,M04,B,B23,-0.635634156
Advertising and Promotion,P&L,ACT,Y2,M04,B,B25,-0.84420096
Advertising and Promotion,P&L,ACT,Y2,M04,B,B27,-0.831271697
Advertising and Promotion,P&L,ACT,Y2,M04,C,C02,-0.884907338
Advertising and Promotion,P&L,ACT,Y2,M04,C,C06,-0.945695761
Advertising and Promotion,P&L,ACT,Y2,M04,D,D04,-0.81086971
Advertising and Promotion,P&L,ACT,Y2,M04,E,E04,-1.414706942
Advertising and Promotion,P&L,ACT,Y2,M04,E,E09,-0.876362654
Advertising and Promotion,P&L,ACT,Y2,M04,E,E12,-1.191343336
Advertising and Promotion,P&L,ACT,Y2,M04,E,E16,-0.959921032
Advertising and Promotion,P&L,ACT,Y2,M04,G,G01,-0.890720208
Advertising and Promotion,P&L,ACT,Y2,M04,G,G08,-0.581264745
Advertising and Promotion,P&L,ACT,Y2,M04,G,G10,-0.980564017
Advertising and Promotion,P&L,ACT,Y2,M04,G,G12,-0.955095601
Advertising and Promotion,P&L,ACT,Y2,M05,A,A01,-0.48995895
Advertising and Promotion,P&L,ACT,Y2,M05,A,A03,-0.396841411
Advertising and Promotion,P&L,ACT,Y2,M05,B,B01,-0.566432076
Advertising and Promotion,P&L,ACT,Y2,M05,B,B03,-0.807564667
Advertising and Promotion,P&L,ACT,Y2,M05,B,B05,-0.704389627
Advertising and Promotion,P&L,ACT,Y2,M05,B,B06,-1.317204209
Advertising and Promotion,P&L,ACT,Y2,M05,B,B08,-0.466838843
Advertising and Promotion,P&L,ACT,Y2,M05,B,B17,-0.645438658
Advertising and Promotion,P&L,ACT,Y2,M05,B,B19,-1.199088629
Advertising and Promotion,P&L,ACT,Y2,M05,B,B23,-0.224536602
Advertising and Promotion,P&L,ACT,Y2,M05,B,B25,-0.50654019
Advertising and Promotion,P&L,ACT,Y2,M05,B,B27,-0.558537202
Advertising and Promotion,P&L,ACT,Y2,M05,C,C02,-0.715585197
Advertising and Promotion,P&L,ACT,Y2,M05,C,C06,-0.63162926
Advertising and Promotion,P&L,ACT,Y2,M05,D,D04,-0.707946449
Advertising and Promotion,P&L,ACT,Y2,M05,E,E04,-1.12462287
Advertising and Promotion,P&L,ACT,Y2,M05,E,E09,-0.815605776
Advertising and Promotion,P&L,ACT,Y2,M05,E,E12,-0.885034565
Advertising and Promotion,P&L,ACT,Y2,M05,E,E16,-0.742343293
Advertising and Promotion,P&L,ACT,Y2,M05,G,G01,-0.416973839
Advertising and Promotion,P&L,ACT,Y2,M05,G,G08,-0.580299923
Advertising and Promotion,P&L,ACT,Y2,M05,G,G10,-0.781631555
Advertising and Promotion,P&L,ACT,Y2,M05,G,G12,-0.693995727
Advertising and Promotion,P&L,ACT,Y2,M06,A,A01,-0.216883464
Advertising and Promotion,P&L,ACT,Y2,M06,A,A03,-0.040236763
Advertising and Promotion,P&L,ACT,Y2,M06,B,B01,-0.244558394
Advertising and Promotion,P&L,ACT,Y2,M06,B,B03,-0.388660513
Advertising and Promotion,P&L,ACT,Y2,M06,B,B05,-0.508844912
Advertising and Promotion,P&L,ACT,Y2,M06,B,B06,-1.056366473
Advertising and Promotion,P&L,ACT,Y2,M06,B,B08,-0.228221149
Advertising and Promotion,P&L,ACT,Y2,M06,B,B17,-0.410528418
Advertising and Promotion,P&L,ACT,Y2,M06,B,B19,-0.886663381
Advertising and Promotion,P&L,ACT,Y2,M06,B,B23,-0.025321333
Advertising and Promotion,P&L,ACT,Y2,M06,B,B25,-0.271701959
Advertising and Promotion,P&L,ACT,Y2,M06,B,B27,-0.277755087
Advertising and Promotion,P&L,ACT,Y2,M06,C,C02,-0.52568864
Advertising and Promotion,P&L,ACT,Y2,M06,C,C06,-0.512720435
Advertising and Promotion,P&L,ACT,Y2,M06,D,D04,-0.580061817
